,Tweets,Polarity,Analysis,Companies Name,Date,Open ,Close,Name,Price
,dloveskdotcom ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,sunnyko38052584 rishabhpant17 bcci iamsanjusamson aajtak zeenewsenglish abpnews ndtvindia ipl year with,0,Neutral,,,,,,
,jaman7635 rpshah00018 bcci iamsanjusamson ipl year with average sanjusamson years rishabhpant,-0.15,Negative,,,,,,
,65th trial match loading for rishabh pant rishabhpant sanjusamson indvsnz,0,Neutral,,,,,,
,news18sports ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,huntdailynews1 ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,getsetcricket ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,prakashb2292 ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,livehindustan ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,mmbu ipl year with average sanjusamson years rishabhpant years ipl year with strik,-0.15,Negative,,,,,,
,siddharthict uboss333 ipl year with average sanjusamson years rishabhpant years ipl,-0.15,Negative,,,,,,
,bileyaditya abdulhakeemk6 ipl year with average sanjusamson years rishabhpant years,-0.15,Negative,,,,,,
,rikendrarathore ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,dvskumar89 surya14kumar bcci iamsanjusamson rishabhpant17 ipl year with average sanjusamson,-0.15,Negative,,,,,,
,viratlove24 bcci iamsanjusamson rishabhpant17 ipl year with average sanjusamson years,-0.15,Negative,,,,,,
,shreyasiyer41 ipl year with average sanjusamson years rishabhpant years ipl year with,-0.15,Negative,,,,,,
,rishabhians17 twitter breaking picture before twitter dies riptwiter rishabhpant sanjusamson,0,Neutral,,,,,,
,ipl year with average sanjusamson years rishabhpant years ipl year with strike rate,-0.15,Negative,,,,,,
,everyone wants sanju team expect rishab pant chaat bcci and selectors sanjusamson rishabhpant bcci,0.2,Positive,,,,,,
,ravikan94106350 who best and batsman pant samson sanjusamson rishabhpant pant t20iworldcup2022 bcci indvsnz,1,Positive,,,,,,
,2jibin when will bcci choose sanju samson over flop pant injustice sanjusamson,0,Neutral,,,,,,
,msdagoriya1421 want sanju samson play tomorrow match bcci ravs1007 rawatrahul9 sanjusamson sanjukomaukado,0,Neutral,,,,,,
,sportskeeda try new opening pair ishankishan51 and iamsanjusamson bcci opening klrahul rishabhpant17,0.136363636,Positive,,,,,,
,rrsuperroyals iamsanjusamson bcci irogerbinny jayshah matter whether you allow him play else plea,0,Neutral,,,,,,
,jay144 bcci why sanju samson always unfairly treated sanjusamson,-0.5,Negative,,,,,,
,bcci sorry iamsanjusamson sit the bench every match had won the ipl then could chance shame bcci,-0.5,Negative,,,,,,
,bcci want iamsanjusamson,0,Neutral,,,,,,
,why iamsanjusamson not playing after the failure our openers t20worldcup and now newzealand,-0.316666667,Negative,,,,,,
,what pant comes good tomorrow then sanjusamson will benched again till world cup bcci vvslaxman281 hardikpandya7,0.7,Positive,,,,,,
,bcci vvslaxman281 rogerbinny10 its sad that sanjusamson ignored and doors slammed him after inviting him,-0.5,Negative,,,,,,
,where iamsanjusamson when did play bcci,0,Neutral,,,,,,
,bcci want iamsanjusamson drop rishab pant,0,Neutral,,,,,,
,bcci surya14kumar have one gem surya14kumar also want another destroyer iamsanjusamson,0,Neutral,,,,,,
,bcci sachinrt imvkohli yuzichahal surya14kumar ameyatilak support sanjusamson drop rishab pant,0,Neutral,,,,,,
,bcci iamsanjusamson want ask you why sanju not being given chances you have any doubts about sanju,0,Neutral,,,,,,
,akshayg72763636 chennaiipl bcci hardikpandya7 iamsanjusamson shubmangill bhawnakohli5 chopraanjum,0,Neutral,,,,,,
,why bcci select iamsanjusamson for series jab khilana nhi hota,0,Neutral,,,,,,
,justiceforsanjusamson bcci icc bccidomestic pmoindia iamsanjusamson jayshah why sanju samon not playing,0,Neutral,,,,,,
,sanjusamson right option bcci,0.285714286,Positive,,,,,,
,not wonderful view its disappointment bcci dirtypolitics iamsanjusamson hardikpandya7,-0.625,Negative,,,,,,
,bcci sanjusamson really order search diamond you lost gold sanju ultimately your future give,0.066666667,Positive,,,,,,
,prema2901 want iamsanjusamson the playing bcci vvslaxman281 give games atleast sanjusamson then compare his perfo,0,Neutral,,,,,,
,lijujos01820561 bcci open your eyes and see this statistics despite showing much talents iamsanjusamson still the,0.1,Positive,,,,,,
,bcci hardikpandya7 vvslaxman281 tomorrow want see iamsanjusamson instead rishabh pant,0,Neutral,,,,,,
,want iamsanjusamson the playing bcci vvslaxman281 give games atleast sanjusamson then compare,0,Neutral,,,,,,
,bcci why not iamsanjusamson,0,Neutral,,,,,,
,amitjaiswl bcci jayshah hardikpandya7 vikrantgupta73 thats how things work for iamsanjusamson since the most unfairly trea,0,Neutral,,,,,,
,royalsfansarmy iamsanjusamson not until the politics bcci stops half the mess only cleared firing sele,-0.113888889,Negative,,,,,,
,bcci bring back sanjusamsonfp,0,Neutral,,,,,,
,sanjusamson rishabpant indiancricketteam vvslaxman281 hardikpandya7 everyone have sense everyone watching,0,Neutral,,,,,,
,south phobic indian cricket team indiancricketteam bcci sanjusamson,0,Neutral,,,,,,
,sanjusamson please give fair chance imsanjusamson dont ignore him humble request hopefully need win nex,0.475,Positive,,,,,,
,connecttosarath ravishastri madehis point clear cricketonprime indiancricketteam sanjusamson,0.1,Positive,,,,,,
,ravishastri madehis point clear cricketonprime indiancricketteam sanjusamson,0.1,Positive,,,,,,
,devoteescricket you see numbers rishabhpant17 iamsanjusamson ishankishan51 are there will wholl grab the spot,0,Neutral,,,,,,
,sanjusamsonfp sanju samson and the indian team from yesterdays training session sanjusamsonfp iamsanjusamson rajasthanr,0,Neutral,,,,,,
,francxavi5 thats bcci bcci indiancricketteam cricket sanjusamson sanju samson iamsanjusamson ravishastriofc http,0,Neutral,,,,,,
,shivamg2711 why are keeping iamsanjusamson out playing how fair bcci indiancricketteam sanjusamson nzvsind,0.7,Positive,,,,,,
,arvi14z most unfairly treated player sanjusamson bccipresident rishabhpant nzvind nzvindonprime indiancricketteam trendingnow,0,Neutral,,,,,,
,guess sanjusamson should change his name sanju samson singh pant etc get place right bcci favoriti,0.285714286,Positive,,,,,,
,why are keeping iamsanjusamson out playing how fair bcci indiancricketteam sanjusamson nzvsind,0.7,Positive,,,,,,
,you see numbers rishabhpant17 iamsanjusamson ishankishan51 are there will wholl grab the spot,0,Neutral,,,,,,
,its the right time bring iamsanjusamson white ball cricket and let rishabhpant17 play test cricket bcci indiancricketteam,0.142857143,Positive,,,,,,
,bcci sdhawan25 iamsanjusamson injustice with sanjusamson give chance sanjusamson justiceforsanjusamson,0,Neutral,,,,,,
,vidit2022 does iamsanjusamson deserve this treatment even after wolrd cup debacle indiancricketteam rishabhpant sanjusamson,0,Neutral,,,,,,
,does iamsanjusamson deserve this treatment even after wolrd cup debacle indiancricketteam rishabhpant sanjusamson,0,Neutral,,,,,,
,anyways all are failing there harm giving sanjusamson chance anyways sometimes out the box,0,Neutral,,,,,,
,rishabh pant t20i t20i ipl ipl sanjusamson t20i t20i ipl ipl,0,Neutral,,,,,,
,henry18vk who the best amp batsman for sanju samson for rishabh pant indvsnz sanjusamson rishabhpant,1,Positive,,,,,,
,aajtak looking the fitness rishabh pant sanjusamson the best option with ishankishan,1,Positive,,,,,,
,snlkmr791 seriously its hard imagine the shoes sanjusamson you are not doing anything wrong still you are not finding,-0.395833333,Negative,,,,,,
,sanjusamsonfp thats how things work for sanju samson since the most unfairly treated player ever indian cricket history,0,Neutral,,,,,,
,rvcjsports sanju samson has been benched again sanjusamson t20i,0,Neutral,,,,,,
,indersinghbha18 sanjusamson class player like virat kohli with the mindset yuvraj singh virendra sehwag its always,0,Neutral,,,,,,
,talkcricket007 dont know about viv richards and don bradman current era know only iamsanjusamson samson name samson,0,Neutral,,,,,,
,bcci sharm karo sanjusamson,0,Neutral,,,,,,
,shubhankrmishra once again sanjusamson faces the axe but fans cheering for him from the stand not doing anything wrong sti,-0.5,Negative,,,,,,
,ankoorsingh23 sanju samson fan moments the way getting support from his fan awesome sanjusamson bcci t20worldcup,1,Positive,,,,,,
,royalsfansarmy sanjusamson trending always but,0,Neutral,,,,,,
,imrishabh97 loved everywhere sanjusamson,0.7,Positive,,,,,,
,sanjusamson you are legend whether you get selected not like dwayne johnson says sanju samson the peoples champion,0,Neutral,,,,,,
,sonu69249048 sanjusamson brahmins support only brahmins hardik pandya and pant brahmins sanju samsonchristian sanju born,0,Neutral,,,,,,
,immahi17 nothing just sanjusamson fans waiting for sanju get chance pant qatar2022 qatarworldcup2022,0,Neutral,,,,,,
,rrsuperroyals iamsanjusamson forever samson fam matter what sanjusamson,0,Neutral,,,,,,
,rawhul9 feeling sad for man sanjusamson,-0.5,Negative,,,,,,
,immahi17 sanjusamson the best waterboy ready for deliver water rishabhpan and team thats what you can for team india,0.6,Positive,,,,,,
,rawhul9 sanju addiction feeling sad sanjusamson,-0.5,Negative,,,,,,
,sanjume51801547 justice for sanju samson sanjusamson,0,Neutral,,,,,,
,aajtak always sanju sanjusamson,0,Neutral,,,,,,
,paytm customer care will retweet this paytm sanjusamson,0,Neutral,,,,,,
,rawhul9 being sanjusamson very hard,-0.379166667,Negative,,,,,,
,adharshvallam your time will come iamsanjusamson anna bigfan sanjusamson justiceforsanjusamson bigplayer jabrafan fifaworld,0,Neutral,,,,,,
,rawhul9 without sanju cricket boaring sanjusamson,0,Neutral,,,,,,
,feeling sad for man sanjusamson,-0.5,Negative,,,,,,
,heart broken moment sanjusamson indvnz cricket,-0.4,Negative,,,,,,
,why dont that plz reply sanjusamson fifaworldcup,0,Neutral,,,,,,
,what will you choose sanjusamson teamindia suryakumaryadav mumbaiindians rajasthanroyals worldcup,0,Neutral,,,,,,
,according sanjusamson fans rahul rishabh ishan iyer are not batsman but only sanju could win single han,0.242857143,Positive,,,,,,
,nandu22490664 sanjusamson dirty politics bcci,-0.6,Negative,,,,,,
,sanjusamson feeling sad for him yrr class player but the dirty politics indian cricket team has not,-0.55,Negative,,,,,,
,without sanju cricket boaring sanjusamson,0,Neutral,,,,,,
,wweaaryan sanjusamson bcci situation right now,0.285714286,Positive,,,,,,
,heart broken moment for sanjusamson,-0.4,Negative,,,,,,
,the end ravishastriofc chats lot shit sanjusamson,-0.2,Negative,,,,,,
,sanju addiction feeling sad sanjusamson,-0.5,Negative,,,,,,
,being sanjusamson very hard,-0.379166667,Negative,,,,,,
,royalsfansarmy the fanbase sanju samson huge sanjusamson iamsanjusamson,0.4,Positive,,,,,,
,uboss333 sanju samson wellington with hooda and siraj teamindia sanjusamson,0,Neutral,,,,,,
,madiyan after years they will say sanju and not fit into t20 team injustice continues sanjusamson,-0.2,Negative,,,,,,
,royatshorma45 you can hide sun with some ostacle for some time but you cant hide permanently thts the tweet iamsanjusamson,0,Neutral,,,,,,
,ferrarinotfiat sanju samson salute you brother you have unbelievable grit and will power wish you lots luck sanjusamson,-0.25,Negative,,,,,,
,sanjusamson give the chance sanju 3rd t20 ind newzeland dont make poltics bcci,0,Neutral,,,,,,
,how much more will bcci ignore sanjusamson giving pant games after games and pant proves himself failure,0.161111111,Positive,,,,,,
,ray hope but chances are very less report cricbuzz lets see what happens tomorrow sanjusamson,-0.216666667,Negative,,,,,,
,surende26790545 iamsanjusamson dont afraid your shadow its really just constant reminder that theres lightwe all arou,-0.133333333,Negative,,,,,,
,sanju samson the most popular sports person india after virat kohli and dhoni sanjusamson,0.55,Positive,,,,,,
,4viz sanjusamson they played players yesterday who bowl regularly they didnt wanted replace other batters they could hav,-0.0625,Negative,,,,,,
,cricmeminfo the fanbase sanju samson huge crazy sanju sanjusamson,-0.1,Negative,,,,,,
,groundstat tighten shaggy breast sanjusamson,0,Neutral,,,,,,
,dhruvjadaun3 you want sanjusamson will play asia cup,0,Neutral,,,,,,
,attitudist sanjusamson trolling himself sitting bench,0,Neutral,,,,,,
,ibnahmed313 want sanju samson the playing tomorrow sanjusamson,0,Neutral,,,,,,
,aajtak sanjusamson iamsanjusamson friend player,0,Neutral,,,,,,
,want sanju samson the playing tomorrow sanjusamson,0,Neutral,,,,,,
,your time will come iamsanjusamson anna bigfan sanjusamson justiceforsanjusamson bigplayer jabrafan,0,Neutral,,,,,,
,saching25184819 justice for sanjusamson,0,Neutral,,,,,,
,sonug8285 sanju samson salute you brother you have unbelievable grit and will power wish you lots luck iamsanjusamson,-0.25,Negative,,,,,,
,pappachananoop were are and will always with you bro iamsanjusamson sanjusamson,0,Neutral,,,,,,
,you want sanjusamson will play asia cup,0,Neutral,,,,,,
,tighten shaggy breast sanjusamson,0,Neutral,,,,,,
,insannav back the squad sanju sanju mass nzvind series viratkohli sanjusamson shubmangill rishabpant umranmalik,0,Neutral,,,,,,
,deekshithbodhi t20worldcupfinal engvspak bcci the world cup winning captain jos buttler plays under sanjusamson the biggest,0.5,Positive,,,,,,
,dna most unfairly treated player fans furious after sanjusamson gets snubbed against newzealand,0,Neutral,,,,,,
,queenkritika21 indvsnz nzvsind teamindia newzealand captaincy crickettwitter sanjusamson army coming twitter and trolling,0,Neutral,,,,,,
,aapkaravi list better openers than rishabhpant prithvishaw sanjusamson shubhmangill suryakumaryadav ruturaj rahultrip,0.5,Positive,,,,,,
,crickettimeshq checkout who the best performer among these three rishabhpant sanjusamson ishankishan cricket,1,Positive,,,,,,
,the100sports whats your pick ishankishan rishabhpant gill suryakumaryadav deepakhooda sanjusamson,0,Neutral,,,,,,
,mehranzaidi who should now the first choice wicketkeeper for t20s rishabhpant sanjusamson ishankishan crickettwitter,0.25,Positive,,,,,,
,rishabhpant717 whos your favorite young superstar comment rishabhpant shubhmangill ishankishan sanjusamson indvsnz https,0.3,Positive,,,,,,
,list better openers than rishabhpant prithvishaw sanjusamson shubhmangill suryakumaryadav ruturaj,0.5,Positive,,,,,,
,rj95415614 who better sanjusamson rishabhpant klrahul ishankishan,0.5,Positive,,,,,,
,who better sanjusamson rishabhpant klrahul ishankishan,0.5,Positive,,,,,,
,rajanmahan rishabhpant opener when ishankishan playing seems strange sanjusamson shubhmangill should open for leftrig,-0.025,Negative,,,,,,
,best indian wicket keeper iplauction ipl2023retention worldcup2022 indvsnzlive sanjusamson rishabhpant ishankishan dineshkarthik,1,Positive,,,,,,
,how ishankishan boy pant hooda greater than sanjusamson dirty politics nzvind,-0.05,Negative,,,,,,
,dhineshj07 mufaddalvohra ruturaj far better than ishankishan and sanjusamson far far better than pant bcci,0.26,Positive,,,,,,
,bcci wishing teamindias dashing and elegant batsman iamsanjusamson very happy birthday,0.75,Positive,,,,,,
,gaonkarrajesh1 guys you know what sanju samson already started trending india sanjusamson teamindia bcci,0,Neutral,,,,,,
,bcci the box office guys teamindia are imvkohli surya14kumar prithvishaw iamsanjusamson umranmalik for,0,Neutral,,,,,,
,ravishastri making big statement sanjusamson sanjus intl debut during the period when ravi shast,0,Neutral,,,,,,
,sanjusamson ravishastri had the point but dirty politics the main villain nobody can help sanjusamson indvsnz,-0.216666667,Negative,,,,,,
,ravishastri had the point but dirty politics the main villain nobody can help sanjusamson indvsnz,-0.216666667,Negative,,,,,,
,htsportsnews ravi shastris stern message team india sanju samson has gone viral sanjusamson teamindia nzvind ravishastri,0,Neutral,,,,,,
,circleofcricket ravishastri urged the team management and selectors give sanjusamson run ten games the shortest format,0,Neutral,,,,,,
,deepakbahera9 ravishastri had the point but nobody can help sanjusamson indvsnz,0,Neutral,,,,,,
,ravishastri had the point but nobody can help sanjusamson indvsnz,0,Neutral,,,,,,
,sanju play tomorrow umran instead bhuvi sanjusamson indvsnz hardikpandya umranmalik,0,Neutral,,,,,,
,new zealand india 3rd t20i minute preview nzvsind nzvind suryakumaryadav cricket sanjusamson indvsnz,0.068181818,Positive,,,,,,
,justice for sanju samson justiceforsanjusamson sanjusamson bcci icc hardikpandya rajasthanroyals,0,Neutral,,,,,,
,sportskeedanews team india off tauranga ahead the 2nd t20i against new zealand nzvind teamindia umranmalik sanjusamson,0.068181818,Positive,,,,,,
,kalyangude9 sanjusamson pant hardikpandya you know guyss sanju not include playing because sanju play well,0,Neutral,,,,,,
,bidunmfc iamsanjusamson amp umran malik clearly india didnt learn anything from world cup debacle still rishabh pant flops,0.1,Positive,,,,,,
,24rocking hardikpandya fear sanjusamson has potential next t20i captain thats picks underdogs isha,0,Neutral,,,,,,
,rj95415614 rishabpant achhi inning khel dega aur sab log sanjusamson fir bhul jaayenge bitter truth but accept,-0.1,Negative,,,,,,
,rishabpant achhi inning khel dega aur sab log sanjusamson fir bhul jaayenge bitter truth but,-0.1,Negative,,,,,,
,hardikpandya fear sanjusamson has potential next t20i captain thats picks under,0,Neutral,,,,,,
,arvi489 had happen when politics involves cricket shameonbcci indvnz sanjusamson rishabhpant,0,Neutral,,,,,,
,priyanshu34b sanju pls retired play for other countries iamsanjusamson sanjusamson bcci indvsnz rishabhpant,-0.125,Negative,,,,,,
,sohanacharya7 sanjusamson rishabhpant most unlucky player indvsnz bcci viratkohli,0.5,Positive,,,,,,
,princeagarwal08 best wicketkeeper batter white ball cricket like rishabhpant retweet sanjusamson indvsnz,0.5,Positive,,,,,,
,zahidha68 who best batsman between them like sanju samson retweet rishabh pant sanjusamson rishabhpant pant,1,Positive,,,,,,
,registanroyals ignore the problems your life just like bcci ignoring sanju samson sanjusamson indvsnz,0,Neutral,,,,,,
,shivwuwu indiancricketteam jaldi next odiseries mai phele matches jeeto and the 3rd match sanjusamson and umranmalik,0,Neutral,,,,,,
,abhinav79910314 who best batsman between them like sanju samson retweet rishabh pant sanjusamson rishabhpant,1,Positive,,,,,,
,atul4500 rishabhpant have been tried opener no34567 also think should tried bowler now sanjusamson bcci,0,Neutral,,,,,,
,dhriti908 shame bcci indvsnz nzvsind rishabhpant sanjusamson,0,Neutral,,,,,,
,cricketpage3 who better retweet sanju samson like ishan kishan indvsnz nzvsind nzvindonprime ausvseng sanjusamson,0.5,Positive,,,,,,
,r3rdhr pant very dangerous t20 batsman sanjusamson bcci indvsnz rishabhpant sanjusamson,-0.78,Negative,,,,,,
,dhriti908 true deserves playing shame bcci indvsnz nzvsind sanjusamson,0.854492188,Positive,,,,,,
,dhriti908 craze iamsanjusamson fan following yeah bcoz love him and know the talent has rawatrahul9,0.25,Positive,,,,,,
,cric666 who your choice rishabhpant sanjusamson indvsnz indvsnzseries,0,Neutral,,,,,,
,sanjanamohan10 for todays indvsnz favorite rishabh pant just for sanjusamson like for rishabhpant,0.5,Positive,,,,,,
,dhriti908 shame bcci backing test batsman t20i wow failed times still playing for india sanjusamson rishab,-0.171875,Negative,,,,,,
,jprime bcci after giving chance sanju samson the age indvsnz sanjusamson,0,Neutral,,,,,,
,bidunmfc love for samson retweet for pant sanjusamson bcci hardikpandya rishabhpant vvslaxman indvsnz,0.5,Positive,,,,,,
,crickfootboi11 want grapes bcci hardikpandya7 vvslaxman281 sanjusamson indvsnz indiancricketteam,0,Neutral,,,,,,
,sameerp14178298 hurts sanjusamson indvsnz rishabhpant bcci suryakumaryadav,0,Neutral,,,,,,
,sameerp14178298 this photo shocked when will bcci choose sanju samson over flop pant injustice sanjusamson rishabhpant,-1,Negative,,,,,,
,talkcricket007 sanju samson the playing for india sanjusamson indvsnz,0,Neutral,,,,,,
,talkcricket007 hope sanjusamson get chance todays match sanjusamson indvsnz,0,Neutral,,,,,,
,pankaj77bunny sanjusamson can iamsanjusamson retire and play big leagues all over the world even for some other country play,-0.0625,Negative,,,,,,
,abdulhakeemk6 ravishastri had the point but dirty politics the main villain nobody can help sanjusamson indvsnz,-0.216666667,Negative,,,,,,
,sanjusamson can iamsanjusamson retire and play big leagues all over the world even for some other country,-0.0625,Negative,,,,,,
,bcci after giving chance sanju samson the age indvsnz sanjusamson,0,Neutral,,,,,,
,rishabhpant have been tried opener no34567 also think should tried bowler now sanjusamson,0,Neutral,,,,,,
,iamsanjusamson what wrong you have done bcci and team management its just fans question that when will you,-0.5,Negative,,,,,,
,princeagarwal08 sanjusamson watching performance rishabhpant ishankishan and shreyasiyer like indvsnz nzvind,0,Neutral,,,,,,
,sameerp14178298 ravishastri had the point but dirty politics the main villain nobody can help sanjusamson indvsnz https,-0.216666667,Negative,,,,,,
